,roundscore_A,roundscore_B,player,getpoint_player,type,rally,time
0,1,0,B,,發長球,1,00:05:47
1,1,0,A,,切球,1,00:05:49
2,1,0,B,,挑球,1,00:05:50
3,1,0,A,,長球,1,00:05:51
4,1,0,B,,殺球,1,00:05:52
5,1,0,A,,擋小球,1,00:05:53
6,1,0,B,,勾球,1,00:05:54
7,1,0,A,A,推球,1,00:05:55
8,1,1,A,,未知球種,2,00:06:10
9,1,1,B,,長球,2,00:06:11
10,1,1,A,,長球,2,00:06:12
11,1,1,B,B,點扣,2,00:06:13
12,2,1,B,,發長球,3,00:06:28
13,2,1,A,,長球,3,00:06:30
14,2,1,B,,殺球,3,00:06:31
15,2,1,A,,擋小球,3,00:06:32
16,2,1,B,,推球,3,00:06:33
17,2,1,A,,殺球,3,00:06:34
18,2,1,B,,擋小球,3,00:06:34
19,2,1,A,,推球,3,00:06:35
20,2,1,B,,長球,3,00:06:36
21,2,1,A,,殺球,3,00:06:37
22,2,1,B,,勾球,3,00:06:38
23,2,1,A,,挑球,3,00:06:39
24,2,1,B,,長球,3,00:06:40
25,2,1,A,,切球,3,00:06:41
26,2,1,B,,放小球,3,00:06:42
27,2,1,A,,挑球,3,00:06:43
28,2,1,B,,後場抽平球,3,00:06:45
29,2,1,A,A,切球,3,00:06:46
30,3,1,A,,發短球,4,00:07:04
31,3,1,B,,推球,4,00:07:05
32,3,1,A,,長球,4,00:07:06
33,3,1,B,A,切球,4,00:07:07
34,3,2,A,,發短球,5,00:07:33
35,3,2,B,,勾球,5,00:07:34
36,3,2,A,B,放小球,5,00:07:34
37,3,3,B,,未知球種,6,00:07:50
38,3,3,A,,放小球,6,00:07:53
39,3,3,B,,挑球,6,00:07:54
40,3,3,A,,殺球,6,00:07:55
41,3,3,B,,防守回抽,6,00:07:56
42,3,3,A,,切球,6,00:07:57
43,3,3,B,,挑球,6,00:07:57
44,3,3,A,,長球,6,00:07:59
45,3,3,B,,殺球,6,00:08:00
46,3,3,A,,勾球,6,00:08:00
47,3,3,B,,推球,6,00:08:01
48,3,3,A,,長球,6,00:08:02
49,3,3,B,,切球,6,00:08:03
50,3,3,A,,挑球,6,00:08:04
51,3,3,B,,切球,6,00:08:06
52,3,3,A,,挑球,6,00:08:07
53,3,3,B,,切球,6,00:08:08
54,3,3,A,B,挑球,6,00:08:09
55,3,4,B,,未知球種,7,00:08:29
56,3,4,A,,放小球,7,00:08:33
57,3,4,B,,推球,7,00:08:34
58,3,4,A,,殺球,7,00:08:35
59,3,4,B,B,勾球,7,00:08:36
60,3,5,B,,未知球種,8,00:09:02
61,3,5,A,,殺球,8,00:09:06
62,3,5,B,,擋小球,8,00:09:06
63,3,5,A,B,放小球,8,00:09:07
64,4,5,B,,未知球種,9,00:09:24
65,4,5,A,,長球,9,00:09:26
66,4,5,B,,長球,9,00:09:27
67,4,5,A,,長球,9,00:09:28
68,4,5,B,A,殺球,9,00:09:30
69,5,5,A,,未知球種,10,00:09:48
70,5,5,B,,切球,10,00:09:55
71,5,5,A,,推球,10,00:09:57
72,5,5,B,,長球,10,00:09:58
73,5,5,A,A,切球,10,00:09:59
74,5,6,A,,發短球,11,00:10:23
75,5,6,B,,推球,11,00:10:24
76,5,6,A,B,過度切球,11,00:10:25
77,6,6,B,,發長球,12,00:10:44
78,6,6,A,,殺球,12,00:10:46
79,6,6,B,,勾球,12,00:10:47
80,6,6,A,,挑球,12,00:10:48
81,6,6,B,,長球,12,00:10:49
82,6,6,A,,過度切球,12,00:10:50
83,6,6,B,,放小球,12,00:10:51
84,6,6,A,,挑球,12,00:10:52
85,6,6,B,,長球,12,00:10:53
86,6,6,A,,殺球,12,00:10:54
87,6,6,B,,放小球,12,00:10:55
88,6,6,A,,推球,12,00:10:56
89,6,6,B,A,點扣,12,00:10:57
90,7,6,A,,發短球,13,00:11:18
91,7,6,B,,推球,13,00:11:18
92,7,6,A,,長球,13,00:11:20
93,7,6,B,,切球,13,00:11:21
94,7,6,A,,放小球,13,00:11:22
95,7,6,B,,勾球,13,00:11:23
96,7,6,A,,挑球,13,00:11:24
97,7,6,B,,後場抽平球,13,00:11:25
98,7,6,A,,擋小球,13,00:11:26
99,7,6,B,,推球,13,00:11:27
100,7,6,A,,切球,13,00:11:28
101,7,6,B,,挑球,13,00:11:29
102,7,6,A,,長球,13,00:11:30
103,7,6,B,,殺球,13,00:11:31
104,7,6,A,,擋小球,13,00:11:32
105,7,6,B,A,挑球,13,00:11:33
106,8,6,A,,發短球,14,00:11:54
107,8,6,B,,撲球,14,00:11:55
108,8,6,A,A,防守回抽,14,00:11:55
109,9,6,A,,發短球,15,00:12:23
110,9,6,B,,推球,15,00:12:24
111,9,6,A,,後場抽平球,15,00:12:25
112,9,6,B,,擋小球,15,00:12:26
113,9,6,A,,挑球,15,00:12:26
114,9,6,B,A,長球,15,00:12:28
115,10,6,A,,未知球種,16,00:12:45
116,10,6,B,,後場抽平球,16,00:12:47
117,10,6,A,,切球,16,00:12:48
118,10,6,B,A,挑球,16,00:12:49
119,11,6,A,,未知球種,17,00:13:06
120,11,6,B,,切球,17,00:13:12
121,11,6,A,,挑球,17,00:13:13
122,11,6,B,,長球,17,00:13:14
123,11,6,A,,長球,17,00:13:15
124,11,6,B,,長球,17,00:13:16
125,11,6,A,,長球,17,00:13:18
126,11,6,B,,長球,17,00:13:19
127,11,6,A,,長球,17,00:13:20
128,11,6,B,,過度切球,17,00:13:22
129,11,6,A,,推球,17,00:13:22
130,11,6,B,,殺球,17,00:13:23
131,11,6,A,,擋小球,17,00:13:24
132,11,6,B,A,推球,17,00:13:25
133,11,7,A,,發短球,18,00:14:38
134,11,7,B,,放小球,18,00:14:39
135,11,7,A,,挑球,18,00:14:40
136,11,7,B,,殺球,18,00:14:42
137,11,7,A,B,擋小球,18,00:14:42
138,11,8,B,,發長球,19,00:15:04
139,11,8,A,,長球,19,00:15:06
140,11,8,B,,長球,19,00:15:08
141,11,8,A,,切球,19,00:15:09
142,11,8,B,,放小球,19,00:15:10
143,11,8,A,,挑球,19,00:15:11
144,11,8,B,,殺球,19,00:15:12
145,11,8,A,,勾球,19,00:15:13
146,11,8,B,,推球,19,00:15:14
147,11,8,A,,長球,19,00:15:15
148,11,8,B,,長球,19,00:15:16
149,11,8,A,,切球,19,00:15:16
150,11,8,B,,挑球,19,00:15:18
151,11,8,A,,長球,19,00:15:19
152,11,8,B,,點扣,19,00:15:20
153,11,8,A,B,擋小球,19,00:15:21
154,11,9,B,,發長球,20,00:15:52
155,11,9,A,,切球,20,00:15:54
156,11,9,B,,放小球,20,00:15:55
157,11,9,A,,放小球,20,00:15:56
158,11,9,B,B,撲球,20,00:15:57
159,12,9,B,,未知球種,21,00:16:18
160,12,9,A,,長球,21,00:16:19
161,12,9,B,,殺球,21,00:16:20
162,12,9,A,,擋小球,21,00:16:21
163,12,9,B,A,推球,21,00:16:21
164,13,9,A,,發長球,22,00:17:01
165,13,9,B,,殺球,22,00:17:02
166,13,9,A,,擋小球,22,00:17:02
167,13,9,B,,挑球,22,00:17:03
168,13,9,A,,切球,22,00:17:04
169,13,9,B,,挑球,22,00:17:05
170,13,9,A,,殺球,22,00:17:07
171,13,9,B,,擋小球,22,00:17:07
