Unnamed: 0,rally,time,roundscore_A,roundscore_B,player,type,lose_reason,getpoint_player,score_difference
0,1,2025-09-28 00:05:47,1,0,B,發長球,,,1
1,1,2025-09-28 00:05:49,1,0,A,切球,,,1
2,1,2025-09-28 00:05:50,1,0,B,挑球,,,1
3,1,2025-09-28 00:05:51,1,0,A,長球,,,1
4,1,2025-09-28 00:05:52,1,0,B,殺球,,,1
5,1,2025-09-28 00:05:53,1,0,A,擋小球,,,1
6,1,2025-09-28 00:05:54,1,0,B,勾球,,,1
7,1,2025-09-28 00:05:55,1,0,A,推球,對手落地致勝,A,1
8,2,2025-09-28 00:06:10,1,1,A,未知球種,,,0
9,2,2025-09-28 00:06:11,1,1,B,長球,,,0
10,2,2025-09-28 00:06:12,1,1,A,長球,,,0
11,2,2025-09-28 00:06:13,1,1,B,點扣,對手落地致勝,B,0
28,3,2025-09-28 00:06:45,2,1,B,後場抽平球,,,1
29,3,2025-09-28 00:06:46,2,1,A,切球,對手落地致勝,A,1
19,3,2025-09-28 00:06:35,2,1,A,推球,,,1
27,3,2025-09-28 00:06:43,2,1,A,挑球,,,1
26,3,2025-09-28 00:06:42,2,1,B,放小球,,,1
15,3,2025-09-28 00:06:32,2,1,A,擋小球,,,1
13,3,2025-09-28 00:06:30,2,1,A,長球,,,1
12,3,2025-09-28 00:06:28,2,1,B,發長球,,,1
17,3,2025-09-28 00:06:34,2,1,A,殺球,,,1
16,3,2025-09-28 00:06:33,2,1,B,推球,,,1
18,3,2025-09-28 00:06:34,2,1,B,擋小球,,,1
14,3,2025-09-28 00:06:31,2,1,B,殺球,,,1
22,3,2025-09-28 00:06:38,2,1,B,勾球,,,1
25,3,2025-09-28 00:06:41,2,1,A,切球,,,1
24,3,2025-09-28 00:06:40,2,1,B,長球,,,1
23,3,2025-09-28 00:06:39,2,1,A,挑球,,,1
20,3,2025-09-28 00:06:36,2,1,B,長球,,,1
21,3,2025-09-28 00:06:37,2,1,A,殺球,,,1
30,4,2025-09-28 00:07:04,3,1,A,發短球,,,2
31,4,2025-09-28 00:07:05,3,1,B,推球,,,2
32,4,2025-09-28 00:07:06,3,1,A,長球,,,2
33,4,2025-09-28 00:07:07,3,1,B,切球,未過網,A,2
34,5,2025-09-28 00:07:33,3,2,A,發短球,,,1
35,5,2025-09-28 00:07:34,3,2,B,勾球,,,1
36,5,2025-09-28 00:07:34,3,2,A,放小球,掛網,B,1
53,6,2025-09-28 00:08:08,3,3,B,切球,,,0
54,6,2025-09-28 00:08:09,3,3,A,挑球,出界,B,0
39,6,2025-09-28 00:07:54,3,3,B,挑球,,,0
40,6,2025-09-28 00:07:55,3,3,A,殺球,,,0
41,6,2025-09-28 00:07:56,3,3,B,防守回抽,,,0
