Unnamed: 0,rally,time,roundscore_A,roundscore_B,player,type,lose_reason,getpoint_player,score_difference,best_type
0,1,2025-09-28 00:05:47,1,0,B,發長球,,,1,過度切球
1,1,2025-09-28 00:05:49,1,0,A,切球,,,1,未知球種
2,1,2025-09-28 00:05:50,1,0,B,挑球,,,1,過度切球
3,1,2025-09-28 00:05:51,1,0,A,長球,,,1,未知球種
4,1,2025-09-28 00:05:52,1,0,B,殺球,,,1,過度切球
5,1,2025-09-28 00:05:53,1,0,A,擋小球,,,1,未知球種
6,1,2025-09-28 00:05:54,1,0,B,勾球,,,1,過度切球
7,1,2025-09-28 00:05:55,1,0,A,推球,對手落地致勝,A,1,未知球種
8,2,2025-09-28 00:06:10,1,1,A,未知球種,,,0,未知球種
9,2,2025-09-28 00:06:11,1,1,B,長球,,,0,過度切球
10,2,2025-09-28 00:06:12,1,1,A,長球,,,0,未知球種
11,2,2025-09-28 00:06:13,1,1,B,點扣,對手落地致勝,B,0,過度切球
28,3,2025-09-28 00:06:45,2,1,B,後場抽平球,,,1,過度切球
29,3,2025-09-28 00:06:46,2,1,A,切球,對手落地致勝,A,1,未知球種
19,3,2025-09-28 00:06:35,2,1,A,推球,,,1,未知球種
27,3,2025-09-28 00:06:43,2,1,A,挑球,,,1,未知球種
26,3,2025-09-28 00:06:42,2,1,B,放小球,,,1,過度切球
15,3,2025-09-28 00:06:32,2,1,A,擋小球,,,1,未知球種
13,3,2025-09-28 00:06:30,2,1,A,長球,,,1,未知球種
12,3,2025-09-28 00:06:28,2,1,B,發長球,,,1,過度切球
17,3,2025-09-28 00:06:34,2,1,A,殺球,,,1,未知球種
16,3,2025-09-28 00:06:33,2,1,B,推球,,,1,過度切球
18,3,2025-09-28 00:06:34,2,1,B,擋小球,,,1,過度切球
14,3,2025-09-28 00:06:31,2,1,B,殺球,,,1,過度切球
22,3,2025-09-28 00:06:38,2,1,B,勾球,,,1,過度切球
25,3,2025-09-28 00:06:41,2,1,A,切球,,,1,未知球種
24,3,2025-09-28 00:06:40,2,1,B,長球,,,1,過度切球
23,3,2025-09-28 00:06:39,2,1,A,挑球,,,1,未知球種
20,3,2025-09-28 00:06:36,2,1,B,長球,,,1,過度切球
21,3,2025-09-28 00:06:37,2,1,A,殺球,,,1,未知球種
30,4,2025-09-28 00:07:04,3,1,A,發短球,,,2,未知球種
31,4,2025-09-28 00:07:05,3,1,B,推球,,,2,過度切球
32,4,2025-09-28 00:07:06,3,1,A,長球,,,2,未知球種
33,4,2025-09-28 00:07:07,3,1,B,切球,未過網,A,2,過度切球
34,5,2025-09-28 00:07:33,3,2,A,發短球,,,1,未知球種
35,5,2025-09-28 00:07:34,3,2,B,勾球,,,1,過度切球
36,5,2025-09-28 00:07:34,3,2,A,放小球,掛網,B,1,未知球種
53,6,2025-09-28 00:08:08,3,3,B,切球,,,0,過度切球
54,6,2025-09-28 00:08:09,3,3,A,挑球,出界,B,0,未知球種
39,6,2025-09-28 00:07:54,3,3,B,挑球,,,0,過度切球
40,6,2025-09-28 00:07:55,3,3,A,殺球,,,0,未知球種
41,6,2025-09-28 00:07:56,3,3,B,防守回抽,,,0,過度切球
42,6,2025-09-28 00:07:57,3,3,A,切球,,,0,未知球種
43,6,2025-09-28 00:07:57,3,3,B,挑球,,,0,過度切球
44,6,2025-09-28 00:07:59,3,3,A,長球,,,0,未知球種
45,6,2025-09-28 00:08:00,3,3,B,殺球,,,0,過度切球
46,6,2025-09-28 00:08:00,3,3,A,勾球,,,0,未知球種
47,6,2025-09-28 00:08:01,3,3,B,推球,,,0,過度切球
48,6,2025-09-28 00:08:02,3,3,A,長球,,,0,未知球種
49,6,2025-09-28 00:08:03,3,3,B,切球,,,0,過度切球
50,6,2025-09-28 00:08:04,3,3,A,挑球,,,0,未知球種
51,6,2025-09-28 00:08:06,3,3,B,切球,,,0,過度切球
52,6,2025-09-28 00:08:07,3,3,A,挑球,,,0,未知球種
37,6,2025-09-28 00:07:50,3,3,B,未知球種,,,0,過度切球
38,6,2025-09-28 00:07:53,3,3,A,放小球,,,0,未知球種
55,7,2025-09-28 00:08:29,3,4,B,未知球種,,,-1,過度切球
56,7,2025-09-28 00:08:33,3,4,A,放小球,,,-1,未知球種
57,7,2025-09-28 00:08:34,3,4,B,推球,,,-1,過度切球
58,7,2025-09-28 00:08:35,3,4,A,殺球,,,-1,未知球種
59,7,2025-09-28 00:08:36,3,4,B,勾球,對手落地致勝,B,-1,過度切球
60,8,2025-09-28 00:09:02,3,5,B,未知球種,,,-2,過度切球
61,8,2025-09-28 00:09:06,3,5,A,殺球,,,-2,未知球種
62,8,2025-09-28 00:09:06,3,5,B,擋小球,,,-2,過度切球
63,8,2025-09-28 00:09:07,3,5,A,放小球,掛網,B,-2,未知球種
64,9,2025-09-28 00:09:24,4,5,B,未知球種,,,-1,過度切球
65,9,2025-09-28 00:09:26,4,5,A,長球,,,-1,未知球種
66,9,2025-09-28 00:09:27,4,5,B,長球,,,-1,過度切球
67,9,2025-09-28 00:09:28,4,5,A,長球,,,-1,未知球種
68,9,2025-09-28 00:09:30,4,5,B,殺球,出界,A,-1,過度切球
69,10,2025-09-28 00:09:48,5,5,A,未知球種,,,0,未知球種
70,10,2025-09-28 00:09:55,5,5,B,切球,,,0,過度切球
71,10,2025-09-28 00:09:57,5,5,A,推球,,,0,未知球種
72,10,2025-09-28 00:09:58,5,5,B,長球,,,0,過度切球
73,10,2025-09-28 00:09:59,5,5,A,切球,對手落地致勝,A,0,未知球種
74,11,2025-09-28 00:10:23,5,6,A,發短球,,,-1,未知球種
75,11,2025-09-28 00:10:24,5,6,B,推球,,,-1,過度切球
76,11,2025-09-28 00:10:25,5,6,A,過度切球,掛網,B,-1,未知球種
77,12,2025-09-28 00:10:44,6,6,B,發長球,,,0,過度切球
78,12,2025-09-28 00:10:46,6,6,A,殺球,,,0,未知球種
79,12,2025-09-28 00:10:47,6,6,B,勾球,,,0,過度切球
80,12,2025-09-28 00:10:48,6,6,A,挑球,,,0,未知球種
81,12,2025-09-28 00:10:49,6,6,B,長球,,,0,過度切球
82,12,2025-09-28 00:10:50,6,6,A,過度切球,,,0,未知球種
83,12,2025-09-28 00:10:51,6,6,B,放小球,,,0,過度切球
84,12,2025-09-28 00:10:52,6,6,A,挑球,,,0,未知球種
85,12,2025-09-28 00:10:53,6,6,B,長球,,,0,過度切球
86,12,2025-09-28 00:10:54,6,6,A,殺球,,,0,未知球種
